Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1976,I,Grus monacha,Aves,Gruiformes,Gruidae,Grus,GB,HK,CN,1,,live,,B,
1976,I,Hylobates lar,Mammalia,Primates,Hylobatidae,Hylobates,GB,HK,TH,2,,live,,B,
1977,I,Hylobates agilis,Mammalia,Primates,Hylobatidae,Hylobates,AU,HK,,1,,live,,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,22,,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,HK,,1164,,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,HK,,10,,tusks,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,HK,,846,,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,HK,XX,462898,,ivory carvings,,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,HK,XX,1,,tusks,,,
1977,II,Falco tinnunculus,Aves,Falconiformes,Falconidae,Falco,GB,HK,,1,,live,,P,C
1977,II,Bubo bubo,Aves,Strigiformes,Strigidae,Bubo,GB,HK,,1,,live,,P,C
1978,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,HK,CN,,20,feathers,sets,,
1978,I,Tomistoma schlegelii,Reptilia,Crocodylia,Crocodylidae,Tomistoma,GB,HK,,1,,live,,,
1978,I,Grus vipio,Aves,Gruiformes,Gruidae,Grus,US,HK,CN,,6,live,,,
1978,I,Hylobates muelleri,Mammalia,Primates,Hylobatidae,Hylobates,AU,HK,,1,,live,,,
1978,I,Polyplectron napoleonis,Aves,Galliformes,Phasianidae,Polyplectron,GB,HK,,14,12,live,,,
1978,I,Polyplectron napoleonis,Aves,Galliformes,Phasianidae,Polyplectron,ID,HK,,,4,live,,,
1978,I,Polyplectron napoleonis,Aves,Galliformes,Phasianidae,Polyplectron,SG,HK,,,4,live,,,
1978,II,Buteo hemilasius,Aves,Falconiformes,Accipitridae,Buteo,JP,HK,CN,,1000,feathers,sets,,
1978,II,Pernis apivorus,Aves,Falconiformes,Accipitridae,Pernis,JP,HK,CN,,2000,feathers,sets,,
1978,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,AU,HK,,3,,live,,,
1978,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,JP,HK,PY,,185.805,skins,m,,
1978,II,Cygnus melancoryphus,Aves,Anseriformes,Anatidae,Cygnus,IN,HK,,2,,live,,Z,
1978,II,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,AU,HK,,2,,live,,,
1978,II,Ateles paniscus,Mammalia,Primates,Atelidae,Ateles,AU,HK,,1,,live,,,
1978,II,Macaca nigra,Mammalia,Primates,Cercopithecidae,Macaca,SG,HK,,,1,live,,,
1978,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,JP,HK,PG,,50,skins,,,
1978,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,842,,ivory carvings,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,HK,,618,,ivory carvings,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,HK,,132804,,ivory carvings,,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,HK,XX,108,,ivory carvings,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,HK,XX,78,,ivory carvings,,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IN,HK,KE,169,,tusks,kg,T,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IN,HK,UG,,577,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,HK,CD,,6885,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,HK,CF,,2639,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,HK,CG,,685,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,HK,KE,,309,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,HK,SD,,3401,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,HK,XX,,26593,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,KR,HK,CG,,46,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,KR,HK,KE,,20,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,KR,HK,XX,,45,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,SG,HK,XX,,861,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,TH,HK,XX,,1257,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,TW,HK,SD,,817,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,TW,HK,XX,,3125,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,HK,BW,529975,,ivory carvings,,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,HK,BW,,39,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,HK,CD,711987,,ivory carvings,,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,HK,CD,,105,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,HK,KE,4603,,ivory carvings,,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,HK,SD,244,,ivory carvings,,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,HK,TZ,37,,ivory carvings,,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,HK,XX,1957560,,ivory carvings,,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,HK,ZA,127075,,ivory carvings,,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,XX,HK,XX,,3593,tusks,kg,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,HK,XX,,2898,tusks,kg,,
1978,II,Leopardus geoffroyi,Mammalia,Carnivora,Felidae,Leopardus,CH,HK,,1,,garments,,,
1978,II,Leopardus geoffroyi,Mammalia,Carnivora,Felidae,Leopardus,GB,HK,AR,64,,live,,,
1978,II,Argusianus argus,Aves,Galliformes,Phasianidae,Argusianus,IN,HK,,,3,live,,,
1978,II,Argusianus argus,Aves,Galliformes,Phasianidae,Argusianus,US,HK,,1,1,live,,,
1978,II,Polyplectron bicalcaratum,Aves,Galliformes,Phasianidae,Polyplectron,GB,HK,,6,6,live,,,
1978,II,Polyplectron bicalcaratum,Aves,Galliformes,Phasianidae,Polyplectron,ID,HK,,,4,live,,,
1978,II,Polyplectron germaini,Aves,Galliformes,Phasianidae,Polyplectron,IN,HK,,,2,live,,,
1978,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,CN,HK,VN,,210,skins,m,,
1978,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,JP,HK,TH,,600,skins,,,
1978,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,NL,HK,VN,,8963,skins,m,,
1978,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,TH,HK,VN,,559,skins,kg,,
1979,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,HK,,1,,live,,B,
1979,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,HK,XX,,1,live,,,I
1979,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,US,HK,CN,1,,ivory carvings,,T,
1979,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,CA,HK,CH,,10,skins,,,I
1979,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,CA,HK,,10,,skins,,S,
1979,I,Grus vipio,Aves,Gruiformes,Gruidae,Grus,DE,HK,CN,,3,live,,,I
1979,I,Grus vipio,Aves,Gruiformes,Gruidae,Grus,DE,HK,,3,,live,,S,
1979,I,Grus vipio,Aves,Gruiformes,Gruidae,Grus,GB,HK,CN,3,,live,,B,
1979,I,Grus vipio,Aves,Gruiformes,Gruidae,Grus,US,HK,CN,,3,live,,,I
1979,I,Grus vipio,Aves,Gruiformes,Gruidae,Grus,US,HK,XX,1,,live,,Z,
1979,I,Grus vipio,Aves,Gruiformes,Gruidae,Grus,US,HK,,3,,live,,Z,
1979,I,Hylobates lar,Mammalia,Primates,Hylobatidae,Hylobates,AU,HK,,1,,live,,,
1979,I,Symphalangus syndactylus,Mammalia,Primates,Hylobatidae,Symphalangus,ID,HK,ID,,2,live,,,
1979,I,Polyplectron napoleonis,Aves,Galliformes,Phasianidae,Polyplectron,MX,HK,,,6,live,,,
1979,I,Polyplectron napoleonis,Aves,Galliformes,Phasianidae,Polyplectron,NL,HK,,,2,live,,,
1979,I,Polyplectron napoleonis,Aves,Galliformes,Phasianidae,Polyplectron,SG,HK,,,1,live,,,
1979,II,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,US,HK,CN,2,,live,,Z,
1979,II,Alligator spp.,Reptilia,Crocodylia,Alligatoridae,Alligator,GB,HK,,1,,shoes,,,
1979,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,US,HK,XX,8,,leather products (small),,T,
1979,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,US,HK,XX,4,,leather items,,T,
1979,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,GB,HK,KY,2850,,leather products (small),,T,
1979,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,SG,HK,GF,,239.256,skins,m,,
1979,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,US,HK,XX,1680,,leather products (small),,T,
1979,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,US,HK,XX,410,,leather items,,T,
1979,II,Cygnus columbianus jankowskii,Aves,Anseriformes,Anatidae,Cygnus,US,HK,CN,4,,live,,Z,
1979,II,Cuon alpinus,Mammalia,Carnivora,Canidae,Cuon,US,HK,CN,2,,live,,Z,
1979,II,Cebus capucinus,Mammalia,Primates,Cebidae,Cebus,CN,HK,VE,,2,live,,,
1979,II,Crocodylidae spp.,Reptilia,Crocodylia,Crocodylidae,,DK,HK,XX,1,,shoes,,P,
1979,II,Crocodylidae spp.,Reptilia,Crocodylia,Crocodylidae,,DK,HK,XX,108,,leather items,,T,
1979,II,Crocodylidae spp.,Reptilia,Crocodylia,Crocodylidae,,US,HK,XX,150,,leather products (small),,T,
1979,II,Crocodylus spp.,Reptilia,Crocodylia,Crocodylidae,Crocodylus,US,HK,XX,990,,leather products (small),,T,
1979,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,GB,HK,,1,,shoes,,,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,128,,ivory carvings,kg,T,
1979,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,23,,ivory carvings,,T,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,HK,,2,,ivory carvings,sets,,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,HK,,6575,,ivory carvings,,,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,HK,,467,,ivory carvings,kg,,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,HK,,9,,tusks,kg,,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,HK,BI,,432,ivory pieces,kg,,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,HK,CF,,7571,ivory pieces,kg,,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,HK,KE,,600,ivory pieces,kg,,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,HK,UG,,141,ivory pieces,kg,,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,HK,XX,,413,ivory pieces,kg,,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,HK,,559745,,ivory carvings,,,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,HK,KE,3,,ivory carvings,kg,T,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,HK,XX,167,,ivory carvings,kg,T,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,HK,XX,3,,ivory carvings,,P,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,HK,ZM,11,,ivory carvings,kg,T,
